,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,8943566,35011,467272,1006,4756688,3719606,54569
1,1,USA,2330769,191,121983,3,973055,1235731,16529
2,2,Brazil,1070139,0,50058,0,543186,476895,8318
3,3,Russia,584680,7728,8111,109,339711,236858,2300
4,4,India,412788,1061,13290,13,228504,170994,8944
5,5,UK,303110,0,42589,0,0,0,379
6,6,Spain,293018,0,28322,0,0,0,617
7,7,Peru,251338,0,7861,0,138763,104714,1143
8,8,Italy,238275,0,34610,0,182453,21212,152
9,9,Chile,236748,0,4295,0,196609,35844,1951
10,10,Iran,204952,2368,9623,116,163591,31738,2887
11,11,Germany,191216,0,8961,0,174900,7355,376
12,12,Turkey,186493,0,4927,0,158828,22738,781
13,13,Pakistan,176617,4951,3501,119,67892,105224,111
14,14,Mexico,175202,4717,20781,387,131686,22735,378
15,15,France,160093,0,29633,0,74312,56148,715
16,16,Saudi Arabia,154233,0,1230,0,98917,54086,1955
17,17,Bangladesh,112306,3531,1464,39,45077,65765,1
18,18,Canada,101019,0,8410,0,63488,29121,2014
19,19,South Africa,92681,0,1877,0,50326,40478,208
20,20,Qatar,86488,0,94,0,66763,19631,224
21,21,Colombia,65633,0,2126,0,25499,38008,335
22,22,Belgium,60550,0,9696,0,16771,34083,50
23,23,Belarus,58505,569,346,3,37666,20493,89
24,24,Sweden,56043,0,5053,0,0,0,272
25,25,Egypt,53758,0,2106,0,14327,37325,41
26,26,Ecuador,49731,0,4156,0,24446,21129,234
27,27,Netherlands,49502,0,6089,0,0,0,57
28,28,Indonesia,45891,862,2465,36,18404,25022,0
29,29,UAE,44533,0,301,0,31754,12478,1
30,30,Singapore,42095,262,26,0,34224,7845,1
31,31,Argentina,41204,0,992,0,12206,28006,353
32,32,Kuwait,39145,0,319,0,30726,8100,180
33,33,Portugal,38841,0,1528,0,24906,12407,70
34,34,Ukraine,36560,735,1002,8,16509,19049,350
35,35,Poland,31931,311,1356,10,16683,13892,71
36,36,Switzerland,31292,49,1956,0,28900,436,16
37,37,Philippines,30052,652,1169,19,7893,20990,82
38,38,Oman,29471,905,131,3,15552,13788,101
39,39,Iraq,29222,0,1013,0,13211,14998,212
40,40,Afghanistan,28833,409,581,12,8764,19488,19
41,41,Dominican Republic,25778,0,655,0,14957,10166,174
42,42,Ireland,25374,0,1715,0,22698,961,17
43,43,Panama,25222,0,493,0,14359,10370,107
44,44,Romania,24045,315,1512,12,16911,5622,195
45,45,Bolivia,23512,1036,740,25,5086,17686,71
46,46,Bahrain,21331,0,61,1,15790,5480,33
47,47,Israel,20686,53,305,0,15664,4717,43
48,48,Armenia,20268,560,350,18,9002,10916,10
49,49,Nigeria,19808,0,506,0,6718,12584,7
50,50,Japan,17799,0,952,0,16077,770,61
51,51,Austria,17323,0,688,0,16175,460,8
52,52,Kazakhstan,17225,446,118,0,10719,6388,121
53,53,Moldova,13953,0,464,0,7745,5744,440
54,54,Ghana,13717,0,85,0,10074,3558,6
