,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"9,421,752","+76,184","481,407","+2,458","5,092,305","3,848,040","58,024"
1,1,USA,"2,437,815","+13,647","123,718 ",+245,"1,021,871","1,292,226","16,502"
2,2,Brazil,"1,152,066",+587,"52,788 ",+17,"613,345","485,933","8,318"
3,3,Russia,"606,881","+7,176","8,513 ",+154,"368,822","229,546","2,300"
4,4,India,"471,841","+15,726","14,894 ",+411,"270,598","186,349","8,944"
5,5,UK,"306,862",+652,"43,081 ",+154,N/A,N/A,340
6,6,Spain,"293,832",,"28,325 ",,N/A,N/A,617
7,7,Peru,"260,810",,"8,404 ",,"148,437","103,969","1,144"
8,8,Chile,"250,767",,"4,505 ",,"210,570","35,692","2,009"
9,9,Italy,"238,833",,"34,675 ",,"184,585","19,573",115
10,10,Iran,"212,501","+2,531","9,996 ",+133,"172,096","30,409","2,869"
11,11,Germany,"192,906",+128,"8,986 ",,"176,300","7,620",337
12,12,Mexico,"191,410","+6,288","23,377 ",+793,"144,448","23,585",378
13,13,Turkey,"190,165",,"5,001 ",,"162,848","22,316",893
14,14,Pakistan,"188,926","+3,892","3,755 ",+60,"77,754","107,417","3,337"
15,15,Saudi Arabia,"167,267","+3,123","1,387 ",+41,"112,797","53,083","2,129"
16,16,France,"161,267",,"29,720 ",,"74,871","56,676",682
17,17,Bangladesh,"122,660","+3,462","1,582 ",+37,"49,666","71,412",1
18,18,South Africa,"106,108",,"2,102 ",,"55,045","48,961",208
19,19,Canada,"101,963",,"8,454 ",,"64,704","28,805","2,058"
20,20,Qatar,"90,778","+1,199",104 ,+5,"73,083","17,591",219
21,21,Colombia,"73,572",,"2,404 ",,"30,459","40,709",335
22,22,Belgium,"60,898",+88,"9,722 ",+9,"16,771","34,405",41
23,23,Sweden,"60,837",,"5,161 ",,N/A,N/A,193
24,24,Belarus,"59,945",+458,362 ,+5,"40,136","19,447",89
25,25,Egypt,"58,141",,"2,365 ",,"15,535","40,241",41
26,26,Ecuador,"51,643",,"4,274 ",,"24,991","22,378",273
27,27,Netherlands,"49,804",+82,"6,097 ",+2,N/A,N/A,48
28,28,Indonesia,"49,009","+1,113","2,573 ",+38,"19,658","26,778",
29,29,Argentina,"47,216",+13,"1,085 ",+7,"13,816","32,315",353
30,30,UAE,"45,683",,305 ,,"33,703","11,675",1
31,31,Singapore,"42,623",+191,26 ,,"36,299","6,298",1
32,32,Kuwait,"41,879",+846,337 ,+3,"32,809","8,733",153
33,33,Portugal,"40,104",+367,"1,543 ",+3,"26,083","12,478",73
34,34,Ukraine,"39,014",+940,"1,051 ",+16,"17,409","20,554",367
