,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,8478604,50004,452252,1800,4444535,3581817,54486
1,1,USA,2236052,1581,119980,39,918796,1197276,16644
2,2,Brazil,960309,0,46665,0,503507,410137,8318
3,3,Russia,561091,7790,7660,182,313963,239468,2300
4,4,India,368705,1441,12280,18,195139,161286,8944
5,5,UK,300469,1218,42288,135,0,0,379
6,6,Spain,291763,0,27136,0,0,0,617
7,7,Peru,240908,0,7257,0,128622,105029,1111
8,8,Italy,237828,0,34448,0,179455,23925,163
9,9,Chile,220628,0,3615,0,156232,60781,1794
10,10,Iran,197647,2596,9272,87,156991,31384,2795
11,11,Germany,189504,0,8927,0,173600,6977,406
12,12,Turkey,182727,0,4861,0,154640,23226,745
13,13,Pakistan,160118,5358,3093,118,59215,97810,111
14,14,Mexico,159793,4930,19080,770,119355,21358,378
15,15,France,158174,0,29575,0,73667,54932,772
16,16,Saudi Arabia,145991,4757,1139,48,93915,50937,1877
17,17,Bangladesh,102292,3803,1343,38,40164,60785,1
18,18,Canada,99853,0,8254,0,62017,29582,1982
19,19,Qatar,84441,1267,86,4,63642,20713,230
20,20,South Africa,80412,0,1674,0,44331,34407,208
21,21,Belgium,60348,104,9683,8,16724,33941,60
22,22,Colombia,57046,0,1864,0,21326,33856,335
23,23,Belarus,56657,625,331,7,34023,22303,92
24,24,Sweden,56043,1481,5053,12,0,0,272
25,25,Netherlands,49319,115,6078,4,0,0,73
26,26,Egypt,49219,0,1850,0,13141,34228,41
27,27,Ecuador,48490,0,4007,0,23881,20602,230
28,28,UAE,43752,388,298,3,30241,13213,1
29,29,Indonesia,42762,1331,2339,63,16798,23625,0
30,30,Singapore,41473,257,26,0,31938,9509,2
31,31,Portugal,38089,417,1524,1,24010,12555,67
32,32,Kuwait,38074,541,308,2,29512,8254,188
33,33,Argentina,35552,0,929,16,10721,23902,274
34,34,Ukraine,34063,829,966,23,15447,17650,327
35,35,Switzerland,31200,13,1956,0,28900,344,18
36,36,Poland,31015,314,1316,30,15317,14382,72
37,37,Philippines,27799,561,1116,8,7090,19593,417
38,38,Afghanistan,27532,658,546,42,7660,19326,19
39,39,Oman,26818,739,119,3,13264,13435,102
40,40,Ireland,25341,0,1710,0,22698,933,28
41,41,Iraq,24254,0,773,0,10770,12711,159
42,42,Dominican Republic,24105,0,633,0,14216,9256,137
43,43,Romania,23080,320,1473,22,16308,5299,178
44,44,Panama,22597,0,470,0,13774,8353,107
45,45,Bolivia,20685,802,679,20,4002,16004,71
46,46,Bahrain,19961,0,53,4,14185,5723,27
47,47,Israel,19894,111,303,0,15499,4092,39
48,48,Armenia,18698,665,309,7,7560,10829,10
49,49,Nigeria,17735,0,469,0,5967,11299,7
50,50,Japan,17628,0,931,0,15850,847,70
51,51,Austria,17223,20,688,1,16101,434,8
52,52,Kazakhstan,15877,335,100,3,10065,5712,77
53,53,Moldova,13106,374,444,11,7252,5410,444
54,54,Serbia,12616,94,258,1,11511,847,17
55,55,Ghana,12590,0,66,0,4410,8114,6
56,56,Denmark,12344,50,600,2,11242,502,6
57,57,S. Korea,12257,59,280,1,10800,1177,15
58,58,Azerbaijan,11329,338,139,6,6192,4998,66
59,59,Algeria,11268,0,799,0,7943,2526,41
60,60,Guatemala,11251,545,432,14,2200,8619,5
61,61,Honduras,10299,643,336,6,1116,8847,13
62,62,Czechia,10176,14,333,0,7401,2442,12
63,63,Cameroon,9864,0,276,0,5570,4018,28
64,64,Morocco,9042,45,213,0,7999,830,7
65,65,Norway,8707,15,244,1,8138,325,5
66,66,Malaysia,8529,14,121,0,8000,408,4
67,67,Sudan,8020,0,487,0,2966,4567,0
68,68,Nepal,7848,671,22,2,1186,6640,0
69,69,Australia,7391,21,102,0,6877,412,2
70,70,Finland,7119,2,326,0,6200,593,2
71,71,Ivory Coast,6063,0,48,0,2749,3266,0
72,72,Uzbekistan,5730,48,19,0,4166,1545,12
73,73,Senegal,5475,106,76,3,3716,1683,16
74,74,DRC,5283,183,117,2,685,4481,0
75,75,Tajikistan,5279,58,51,0,3762,1466,0
76,76,Haiti,4688,141,82,2,24,4582,0
77,77,Guinea,4668,0,26,0,3364,1278,24
78,78,North Macedonia,4664,182,216,6,1836,2612,34
79,79,Djibouti,4545,0,43,0,3411,1091,0
80,80,Kenya,4257,213,117,10,1459,2681,7
81,81,Gabon,4229,0,30,0,1505,2694,15
82,82,El Salvador,4200,134,82,3,2235,1883,143
83,83,Luxembourg,4085,0,110,0,3935,40,1
84,84,Hungary,4079,1,568,1,2564,947,15
85,85,Ethiopia,3954,195,65,2,934,2955,30
86,86,Bulgaria,3542,0,184,0,1880,1478,12
87,87,Venezuela,3386,0,28,0,835,2523,5
88,88,Greece,3203,0,187,0,1374,1642,11
89,89,Bosnia and Herzegovina,3174,33,168,0,2219,787,4
90,90,Thailand,3141,6,58,0,2997,86,1
91,91,Somalia,2719,23,88,0,724,1907,2
92,92,Kyrgyzstan,2657,95,31,1,1933,693,12
93,93,CAR,2564,0,18,0,402,2144,2
94,94,Mayotte,2383,38,29,0,2066,288,10
95,95,Cuba,2295,15,85,1,2020,190,5
96,96,Croatia,2269,11,107,0,2142,20,0
97,97,Mauritania,2223,0,95,0,427,1701,8
98,98,Maldives,2120,0,8,0,1677,435,9
99,99,Estonia,1977,0,69,0,1748,160,0
100,100,Sri Lanka,1926,2,11,0,1421,494,1
101,101,Mali,1890,0,107,0,1168,615,0
102,102,Costa Rica,1871,0,12,0,899,960,3
103,103,Nicaragua,1823,0,64,0,1238,521,0
104,104,Iceland,1816,1,10,0,1801,5,0
