,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"8,765,367","+14,377","462,681",+861,"4,627,834","3,674,852","54,796"
1,1,USA,"2,297,190",,"121,407 ",,"956,061","1,219,722","16,533"
2,2,Brazil,"1,038,568",,"49,090 ",,"520,360","469,118","8,318"
3,3,Russia,"569,063",,"7,841 ",,"324,406","236,816","2,300"
4,4,India,"395,812",,"12,970 ",,"214,206","168,636","8,944"
5,5,UK,"301,815",,"42,461 ",,N/A,N/A,379
6,6,Spain,"292,655",,"28,315 ",,N/A,N/A,617
7,7,Peru,"247,925",,"7,660 ",,"135,520","104,745","1,130"
8,8,Italy,"238,011",,"34,561 ",,"181,907","21,543",161
9,9,Chile,"231,393",,"4,093 ",,"191,491","35,809","1,911"
10,10,Iran,"200,262",,"9,392 ",,"159,192","31,678","2,833"
11,11,Germany,"190,660",,"8,960 ",,"174,400","7,300",376
12,12,Turkey,"185,245",,"4,905 ",,"157,516","22,824",769
13,13,Pakistan,"171,666","+6,604","3,382 ",+153,"63,504","104,780",111
14,14,Mexico,"170,485","+5,030","20,394 ",+647,"127,332","22,759",378
15,15,France,"159,452",,"29,617 ",,"74,117","55,718",727
16,16,Saudi Arabia,"150,292",,"1,184 ",,"95,764","53,344","1,941"
17,17,Bangladesh,"105,535",,"1,388 ",,"42,945","61,202",1
18,18,Canada,"100,629",,"8,346 ",,"63,003","29,280","1,990"
19,19,South Africa,"87,715",,"1,831 ",,"47,825","38,059",208
20,20,Qatar,"85,462",,93 ,,"65,409","19,960",221
21,21,Colombia,"63,276",,"2,045 ",,"23,988","37,243",335
22,22,Belgium,"60,476",,"9,695 ",,"16,751","34,030",55
23,23,Belarus,"57,333",,337 ,,"35,275","21,721",92
24,24,Sweden,"56,043",,"5,053 ",,N/A,N/A,272
25,25,Egypt,"52,211",,"2,017 ",,"13,928","36,266",41
26,26,Ecuador,"49,731",,"4,156 ",,"24,446","21,129",234
27,27,Netherlands,"49,426",,"6,081 ",,N/A,N/A,57
28,28,UAE,"44,145",,300 ,,"30,996","12,849",1
29,29,Indonesia,"43,803",,"2,373 ",,"17,349","24,081",
30,30,Singapore,"41,615",,26 ,,"33,459","8,130",2
31,31,Argentina,"39,570",,979 ,,"11,851","26,740",353
32,32,Kuwait,"38,678",,313 ,,"30,190","8,175",193
33,33,Portugal,"38,464",,"1,527 ",,"24,477","12,460",67
34,34,Ukraine,"34,984",,985 ,,"16,033","17,966",343
35,35,Poland,"31,316",,"1,334 ",,"15,698","14,284",87
36,36,Switzerland,"31,235",,"1,956 ",,"28,900",379,17
37,37,Philippines,"28,459",,"1,130 ",,"7,378","19,951",417
38,38,Afghanistan,"27,878",,548 ,,"7,962","19,368",19
39,39,Oman,"27,670",,125 ,,"13,974","13,571",102
40,40,Iraq,"27,352",,925 ,,"12,205","14,222",212
41,41,Ireland,"25,368",,"1,714 ",,"22,698",956,16
42,42,Dominican Republic,"25,068",,647 ,,"14,605","9,816",167
43,43,Panama,"24,274",,485 ,,"14,359","9,430",107
44,44,Romania,"23,400",,"1,484 ",,"16,555","5,361",184
45,45,Bolivia,"22,476",+977,715 ,+18,"4,670","17,091",71
46,46,Bahrain,"20,916",,57 ,,"15,287","5,572",36
47,47,Israel,"20,339",,304 ,,"15,586","4,449",39
48,48,Armenia,"19,157",,319 ,,"8,266","10,572",10
49,49,Nigeria,"19,147",,487 ,,"6,581","12,079",7
50,50,Japan,"17,740",,935 ,,"16,008",797,62
51,51,Austria,"17,271",,688 ,,"16,141",442,7
52,52,Kazakhstan,"16,779",+428,113 ,,"10,411","6,255",121
53,53,Moldova,"13,556",,450 ,,"7,525","5,581",455
54,54,Ghana,"13,203",,70 ,,"4,548","8,585",6
55,55,Serbia,"12,709",,259 ,,"11,511",939,18
56,56,Guatemala,"12,509",+641,483 ,+34,"2,419","9,607",5
